Name,ConflictStatus,Description,Notes,Publishable,InternalNotes,Stories,Ethics Doc Lines
Energy Transfer Partners,Unclear,"According to financial disclosures filed in May 2016, President Donald Trump owned between $15,000 and $50,000 in stock in Texas-based Energy Transfer Partners. That's down from between $500,000 and $1 million a year earlier.",,To Discuss,,https://www.bloomberg.com/politics/articles/2016-11-25/trump-s-stock-in-oil-pipeline-company-raises-concern,
Home Depot,Resolved,,,To Discuss,,,"1041,1042,1043,1044"
Shore Haven Apt#1,Active,,,To Discuss,,,212
Hudson Waterfront Associates V,Active,,,To Discuss,,,158
Trump Riverside Management,Active,,,To Discuss,,,510
KF- Rcg Longview Debt Fund IV,Unclear,,,To Discuss,,,1206
Park Briar Associates,Active,,,To Discuss,,,197
Trump Commercial Chicago,Active,,,To Discuss,,,328
Apple,Unclear,"Though he tried to start a boycott against Apple AAPL +0.55% in February -- after the iPhone maker refused to help the Federal Bureau of Investigation break into one of the San Bernardino shooters’ phone -- Trump held onto his shares in the tech company, which were worth as much as $2 million in May, according to Trump’s May 2016 Federal Election Commission filing, which provides a range of values for each of his stock holdings.",,To Discuss,,https://www.forbes.com/sites/jenniferwang/2016/11/29/trumps-stock-portfolio-big-oil-big-banks-and-more-foreign-connections/#30d204ea464e,
Trump Tower Managing Member,Active,,,To Discuss,,"https://www.bloomberg.com/graphics/2016-trump-40-wall-street/,https://www.theguardian.com/us-news/2018/may/04/trump-qatar-buys-apartment-new-york-tower,http://www.mcclatchydc.com/news/politics-government/white-house/article210477439.html,https://www.forbes.com/trump-tenants/#4fcc6c891d32,https://www.washingtonpost.com/amphtml/politics/as-tariffs-near-trumps-business-empire-includes-china-ties/2018/07/05/9bfd1056-7956-11e8-aeee-4d04c8ac6158_story.html,https://www.washingtonpost.com/politics/at-president-trumps-hotel-in-new-york-revenue-went-up-this-spring--thanks-to-a-visit-from-big-spending-saudis/2018/08/03/58755392-9112-11e8-bcd5-9d911c784c38_story.html?utm_term=.3a97c3f2cf0f",525
OC Partners,Resolved,,,To Discuss,,,"1405,1406"
GlaxoSmithKline,Unclear,"Despite campaigning on the pledge of “taking on big businesses,” Trump own shares in big pharma companies including Pfizer, Merck, Celgene and GlaxoSmithKline; retailer Walmart, and consumer goods firms Procter & Gamble and Johnson & Johnson. He also hold stakes in a variety of multinational oil companies like Shell, Chevron and Exxon Mobil.",,To Discuss,,https://www.forbes.com/sites/jenniferwang/2016/11/29/trumps-stock-portfolio-big-oil-big-banks-and-more-foreign-connections/#30d204ea464e,
NEW YORK ST DORM AUTH ST PERSONAL INCOME TAX REVENUE UNREFUNDED SER A,Unclear,,,To Discuss,,,1356
Commerce Department,Unclear,,,To Discuss,,https://mobile.reuters.com/article/amp/idUSKCN1J12RP,
Bedford Hills,Active,,,To Discuss,,,21
Virginia St Bonds,Unclear,,,To Discuss,,,unnamed record
Trump Brazil,Active,,,To Discuss,,"https://www.washingtonpost.com/business/economy/a-scramble-to-assess-the-dangers-of-president-elects-global-business-empire/2016/11/20/1bbdc2a2-ad18-11e6-a31b-4b6397e625d0_story.html,https://www.nytimes.com/2016/11/26/us/politics/donald-trump-international-business.html?_r=1",307
THC Rio,Active,,,To Discuss,,https://www.nytimes.com/2016/11/26/us/politics/donald-trump-international-business.html?_r=1,"251,250"
Ford Motor Company,Resolved,,,To Discuss,,,"1011,1012"
China State Construction Engineering Corp.,Unclear,"The Chinese government-owned company was awarded a $19.6 million contract for road and infrastructure work as part of the residential piece of Trump World Golf Club Dubai project called Akoya Oxygen, according to a news release dated Sunday. CSCEC was awarded a $32 million contract to build a six-lane road in early 2017, just as President Donald Trump was inaugurated and it was hired in February to construct one of the buildings at a cost of $163 million.",,To Discuss,,"https://www.mcclatchydc.com/news/politics-government/white-house/article213164779.html,https://www.damacproperties.com/en/media-centre/press-releases/damac-awards-infrastructure-works-contract-at-akoya-oxygen-to-cscec-as-construction-spend,http://www.mcclatchydc.com/news/politics-government/white-house/article172443417.html,http://www.constructionweekonline.com/article-49557-cscec-lands-19m-damac-contract-for-dubais-akoya-oxygen/,https://www.washingtonpost.com/amphtml/politics/as-tariffs-near-trumps-business-empire-includes-china-ties/2018/07/05/9bfd1056-7956-11e8-aeee-4d04c8ac6158_story.html",
Lamington Farm Club,Active,,,To Discuss,,,170
Chelsea Hall,Active,,,To Discuss,,,29
Yum Brands,Resolved,,,To Discuss,,,"unnamed record,unnamed record"
Wells Fargo,Resolved,"According to Trump’s May 2016 Federal Election Commission filing, which provides a range of values for each of his stock holdings, he owns anywhere from $500,000 to $1 million worth of shares each in Citigroup, JP Morgan Chase , Wells Fargo, Morgan Stanley and Goldman Sachs -- in other words, five of the famous “big six” banks.",,To Discuss,,https://www.forbes.com/sites/jenniferwang/2016/11/29/trumps-stock-portfolio-big-oil-big-banks-and-more-foreign-connections/#30d204ea464e,"unnamed record,unnamed record"
JP Morgan Chase,Unclear,"According to Trump’s May 2016 Federal Election Commission filing, which provides a range of values for each of his stock holdings, he owns anywhere from $500,000 to $1 million worth of shares each in Citigroup, JP Morgan Chase , Wells Fargo, Morgan Stanley and Goldman Sachs -- in other words, five of the famous “big six” banks.",,To Discuss,,https://www.forbes.com/sites/jenniferwang/2016/11/29/trumps-stock-portfolio-big-oil-big-banks-and-more-foreign-connections/#30d204ea464e,
Trump Marks Dubai,Active,,,To Discuss,,"https://www.damacproperties.com/en/media-centre/press-releases/damac-awards-infrastructure-works-contract-at-akoya-oxygen-to-cscec-as-construction-spend,http://www.mcclatchydc.com/news/politics-government/white-house/article172443417.html,http://www.constructionweekonline.com/article-49557-cscec-lands-19m-damac-contract-for-dubais-akoya-oxygen/,https://www.washingtonpost.com/amphtml/politics/as-tariffs-near-trumps-business-empire-includes-china-ties/2018/07/05/9bfd1056-7956-11e8-aeee-4d04c8ac6158_story.html","406,405"
Golf Productions,Active,,,To Discuss,,,"146,147"
Dt Jeddah Technical Services Manager,Resolved,,,To Discuss,,https://www.washingtonpost.com/business/economy/a-scramble-to-assess-the-dangers-of-president-elects-global-business-empire/2016/11/20/1bbdc2a2-ad18-11e6-a31b-4b6397e625d0_story.html,"83,82"
KCOF-215 Moore,Active,,,To Discuss,,,1189
Deutsche Bank,Active,"The populist billionaire has other Canadian holdings, including $500,000 to $1 million investments in the Bank of Nova Scotia and the Toronto Dominion Bank, and $1 million to $5 million worth of shares in the Royal Bank of Canada. Such investments add to the array of connections Trump already has with foreign entities - including nine figure debts owed to German lender Deutsche Bank and China’s state-controlled Bank of China.",,To Discuss,,https://www.forbes.com/sites/jenniferwang/2016/11/29/trumps-stock-portfolio-big-oil-big-banks-and-more-foreign-connections/#30d204ea464e,871
Trump Village Construction,Active,,,To Discuss,,,532
Hudson Waterfront Associates Iv,Active,,,To Discuss,,,157
Tmg,Active,,,To Discuss,,,282
Trump National Golf Club - Hudson VAlley,Unclear,,status missing,To Discuss,,,476
Wallkill,Unclear,,,To Discuss,,,
Ultimate Air,Active,,,To Discuss,,,551
Chicago Unit Acquisition,Active,,,To Discuss,,,30
Trump Ferry Point,Active,,,To Discuss,,,"348,347"
Trump Jets (Formerly Sentient Jets),Resolved,,Listed in disclosure as dissolved as of 11/9/16,To Discuss,,,"373,375,374"
Google,Unclear,"According to Trump’s May 2016 Federal Election Commission filing, which provides a range of values for each of his stock holdings, he owns shares in Google.",,To Discuss,,https://www.forbes.com/sites/jenniferwang/2016/11/29/trumps-stock-portfolio-big-oil-big-banks-and-more-foreign-connections/#30d204ea464e,
Dt Tower Kolkata,Active,,,To Discuss,,,"125,124"
THC Qatar Hotel Manager,Resolved,,,To Discuss,,https://www.washingtonpost.com/business/economy/a-scramble-to-assess-the-dangers-of-president-elects-global-business-empire/2016/11/20/1bbdc2a2-ad18-11e6-a31b-4b6397e625d0_story.html,"249,248"
Philippine Government,Unclear,,,To Discuss,,https://www.marketwatch.com/story/philippine-government-party-to-be-held-at-trumps-dc-hotel-2018-04-19,
Trump International Development,Active,,,To Discuss,,"https://www.washingtonpost.com/politics/trump-business-dealings-raises-serious-concerns-ethics-office-says/2018/06/22/b71de20a-7642-11e8-9780-b1dd6a09b549_story.html?utm_term=.6784ef6af365,https://www.washingtonpost.com/news/morning-mix/wp/2018/07/27/trumps-emoluments-battle-how-a-scholars-journey-through-200-years-of-dictionaries-helped-win-a-historic-ruling/?utm_term=.25bb86879b9b,https://abcnews.go.com/amp/Business/wireStory/trumps-scottish-resort-expand-raising-ethics-concerns-56822706","361,362"
IDB Bank,Active,,,To Discuss,,,1051
Trump International Golf Club,Active,,,To Discuss,,,363
Janus Henderson Investors,Active,,,To Discuss,,,1113
Sixty-Six West Associates,Active,,,To Discuss,,,1543
Artwork,Active,,,To Discuss,,,759
KF Middle River,Active,,,To Discuss,,,"1190,1191,1194,1307,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record"
Internal Revenue Service,Unclear,,,To Discuss,,"http://www.newsweek.com/where-trump-irs-tax-audit-letter-488904,https://www.washingtonpost.com/politics/new-york-files-suit-against-president-trump-alleging-his-charity-engaged-in-illegal-conduct/2018/06/14/c3cbf71e-6fc9-11e8-bd50-b80389a4e569_story.html?utm_term=.4ceb5b79cb06,https://www.npr.org/2018/06/15/620230403/legal-defense-funds-for-trump-allies-multiply,https://www.npr.org/2018/06/14/619959270/new-yorks-attorney-general-sues-the-trump-foundation,https://www.npr.org/2018/06/14/619974462/n-y-attorney-general-files-suit-against-trump-foundation,https://www.nbcnews.com/politics/donald-trump/new-york-attorney-general-sues-trump-foundation-what-might-happen-n883901,https://edition.cnn.com/2018/06/19/politics/trump-foundation-q-and-a/,https://www.bloomberg.com/news/articles/2018-02-15/kushner-investors-said-to-be-subpoenaed-by-u-s-tax-authorities?utm_content=politics&utm_campaign=socialflow-organic&utm_source=twitter&utm_medium=social&cmpid%3D=socialflow-twitter-politics,https://www.cnn.com/2018/06/28/politics/trump-irs-nominee-charles-rettig/index.html,http://www.newsweek.com/donald-trump-irs-nominee-hotel-999627?amp=1,https://www.nbcnews.com/politics/donald-trump/trump-s-d-c-hotel-clubhouse-his-fans-may-also-n898041,https://www.today.com/video/is-dc-s-trump-international-hotel-a-conflict-of-interest-for-the-president-1294601283992",
Westminster Title Associates,Resolved,,,To Discuss,,,"unnamed record,unnamed record"
3126 Corporation,Unclear,,missing status,To Discuss,,,2
Trump Marks Stamford,Active,,,To Discuss,,,"453,454"
845 UN,Active,,,To Discuss,,,15
THC Jeddah Hotel Advisor,Unclear,,to discuss,To Discuss,,https://www.washingtonpost.com/business/economy/a-scramble-to-assess-the-dangers-of-president-elects-global-business-empire/2016/11/20/1bbdc2a2-ad18-11e6-a31b-4b6397e625d0_story.html,"243,242"
Country Properties,Active,,,To Discuss,,,36
Lfb Acquisition,Active,,,To Discuss,,,"172,173"
Office of Government Ethics,Unclear,,,To Discuss,,https://www.npr.org/2018/06/15/620230403/legal-defense-funds-for-trump-allies-multiply,
Port Authority of New York & New Jersey,Resolved,,,To Discuss,,,"1461,1462"
Trump Marks Tampa,Active,,,To Discuss,,,"459,460"
Trump Ruffin,Active,,,To Discuss,,,"512,513,511"
Dt Dubai Ii Golf Manager,Active,,,To Discuss,,"https://www.damacproperties.com/en/media-centre/press-releases/damac-awards-infrastructure-works-contract-at-akoya-oxygen-to-cscec-as-construction-spend,http://www.mcclatchydc.com/news/politics-government/white-house/article172443417.html,http://www.constructionweekonline.com/article-49557-cscec-lands-19m-damac-contract-for-dubais-akoya-oxygen/,https://www.washingtonpost.com/amphtml/politics/as-tariffs-near-trumps-business-empire-includes-china-ties/2018/07/05/9bfd1056-7956-11e8-aeee-4d04c8ac6158_story.html","75,74,899"
New York St Dorm Auth Sales Tax Revenue Rfdg Ser A,Unclear,,,To Discuss,,,1352
West End Building Associates,Active,,,To Discuss,,,unnamed record
Never Give Up,Active,,,To Discuss,,,183
New Jersey Renewable Power Corp,Resolved,,,To Discuss,,,1328
State of Oregon,Resolved,,,To Discuss,,,"1422,1423"
State of Maryland,Resolved,,,To Discuss,,,1286
Dsn Licensing (Formerly Trump Marks Network),Resolved,,dissolved as of 11/9/16,To Discuss,,,"58,57"
Dt Bali Hotel Manager,Active,,,To Discuss,,http://mobile.nytimes.com/2016/12/31/world/asia/indonesia-donald-trump-resort.html,"64,63,893"
New York St Bonds,Unclear,,,To Discuss,,,"1370,1371,1372"
New York St Environ Facs Corp St Clean Wtr &Amp; Drinking Revolving Fdsnyc MUN Wtr A,Unclear,,,To Discuss,,,1359
Landings Chicago,Unclear,,,To Discuss,,,
FabFitFun,Resolved,,,To Discuss,,,"984,985"
Dt Marks Gurgaon,Active,,,To Discuss,,,"99,98"
New Puck Corp,Unclear,,,To Discuss,,,"1332,1477,1478,1479,unnamed record,unnamed record"
Friends of IDF (Israel Defense Forces),Resolved,,,To Discuss,,,1013
Trump National Golf Club - Los Angeles,Active,,,To Discuss,,https://www.mcclatchydc.com/news/politics-government/white-house/article216249755.html,"478,477"
New York State,Resolved,,,To Discuss,,,"1349,1351,1353,1355,1357,1358,1361,1363,1365,1367,1369,1373,1377,unnamed record"
Met Transprtn Auth NY Revenue Transn Ser A,Unclear,,,To Discuss,,,1296
Dt Marks Bali,Active,,,To Discuss,,http://mobile.nytimes.com/2016/12/31/world/asia/indonesia-donald-trump-resort.html,"93,92"
Thrive Capital Partners,Active,,,To Discuss,,,"1226,unnamed record"
Lacey Township Building Corp.,Active,,,To Discuss,,,1241
"Onondaga County, NY",Resolved,,,To Discuss,,,"1410,1411"
Trump World Productions,Active,,,To Discuss,,,"543,542"
Trump Chicago Residential,Active,,,To Discuss,,,"323,322"
Why We Want You To Be Rich,Active,,,To Discuss,,,558
Owo Developer,Active,,,To Discuss,,,191
Goldman Sachs,Resolved,"According to Trump’s May 2016 Federal Election Commission filing, which provides a range of values for each of his stock holdings, he owns anywhere from $500,000 to $1 million worth of shares each in Citigroup, JP Morgan Chase , Wells Fargo, Morgan Stanley and Goldman Sachs -- in other words, five of the famous “big six” banks.",,To Discuss,,https://www.forbes.com/sites/jenniferwang/2016/11/29/trumps-stock-portfolio-big-oil-big-banks-and-more-foreign-connections/#30d204ea464e,"1029,1030"
Trump Chicago Retail,Active,,,To Discuss,,,"325,324"
Excel Venture I,Active,,,To Discuss,,,"135,136"
Florida Properties Management,Active,,,To Discuss,,,141
Eaton Vance,Active,,,To Discuss,,,"949,948,950"
Dt Bali Technical Services Manager,Active,,,To Discuss,,http://mobile.nytimes.com/2016/12/31/world/asia/indonesia-donald-trump-resort.html,"66,65,895"
Crippled America,Active,,,To Discuss,,,38
K 30 Journal Square,Active,,,To Discuss,,,"1140,704,1139,unnamed record"
Shore Haven Shopping Center,Active,,,To Discuss,,,214
Elmwood V. Associates,Active,,,To Discuss,,,"964,965,966,957,958,959,967,unnamed record,unnamed record,unnamed record"
News Corp.,Resolved,,,To Discuss,,,"1378,1379"
Oakwood Garden Associates,Active,,,To Discuss,,,"1394,1395,1391,1392,1393,1396,unnamed record,unnamed record,unnamed record"
Dt Marks Dubai Ii,Unclear,,Marked as Unclear by HN on 8/23/18. ,To Discuss,,"https://www.damacproperties.com/en/media-centre/press-releases/damac-awards-infrastructure-works-contract-at-akoya-oxygen-to-cscec-as-construction-spend,http://www.mcclatchydc.com/news/politics-government/white-house/article172443417.html,http://www.constructionweekonline.com/article-49557-cscec-lands-19m-damac-contract-for-dubais-akoya-oxygen/,https://www.washingtonpost.com/amphtml/politics/as-tariffs-near-trumps-business-empire-includes-china-ties/2018/07/05/9bfd1056-7956-11e8-aeee-4d04c8ac6158_story.html","97,96"
