ID,pubstatus,Internal Notes,Business Interest Details,Conflict,Conflicting Entity,Family Member,Owner 1,Pct 1,Owner 2,Pct 2,Owner 3,Pct 3,Owner 4,Pct 4,Total,EntityStatus,Ethics Doc 1,Ethics Doc 2,Ethics Doc 3,2015,2016,2017,Public Notes,Conflict Status (archive),2018
,approved,"*** Is it possible to link this to any/all of the other Journal Square entities? Maybe K One Journal Square? 

25 July 2018 HN: I added this entity based on the endnote for 19.10 (unnamed contingent ownership rights) because it's missing from disclosure form. ","As of July 20, 2017 the contingent ownership rights in 1 Journal Square Partners Urban Renewal Company LLC had been divested.",1 Journal Square Partners,"""1 Journal Square Partners Urban Renewal Company LLC (Undeveloped Real Estate in Jersey City, NJ)""",Jared Kushner,Contingent Rights to Ownership Interests,,,,,,,,0,Resolved,,,,,,checked,,Resolved,
678,approved,"Ivanka's disclosure says it's in divestment process, but Jared's doesn't.","Jared Kushner received $1,000,001 - $5,000,000 and over $5,000,000 in Capital Gains income via two distributions from 2 Rector Kushner Member LLC (Commercial Real Estate in New York, NY) the year before his appointment as Pres. Trump's senior adviser. Jared Kushner served as Managing Member of 2 Rector Kushner Member, LLC from Jun 1, 2013, to Mar 1, 2016. Although Jared Kushner has resigned his position(s) with this entity, it is also disclosed an asset; therefore, this database marks the potential conflict of interest as active. ",2 Rector Kushner,"""2 Rector Kushner Member LLC (Commercial Real Estate In New York, NY)""",Jared Kushner,,,,,,,,0.0,0,Active,https://www.documentcloud.org/documents/4053459-OGE-Kushner-20170720.html,https://www.documentcloud.org/documents/4053459-OGE-Kushner-20170720.html,https://www.documentcloud.org/documents/4053458-OGE-Ivanka-20170720.html,,,checked,"After having been inadvertently omitted, this asset was added during the ordinary review process with OGE. ",Active,
676,approved,,"Ivanka Trump received $1,000,001 - $5,000,000 and over $5,000,000 in Capital Gains income via two distributions from 2 Rector Kushner Member LLC (Commercial Real Estate in New York, NY) the year before her appointment as her father&#39;s presidential adviser. As of December 21, 2017, the asset was in the divestment process; it is marked as an ""active"" potential conflict of interest pending confirmation that divestment was completed. ",2 Rector Kushner,"""2 Rector Kushner Member LLC (Commercial Real Estate In New York, NY)""",Ivanka Trump,,,,,,,,0.0,0,Active,https://www.documentcloud.org/documents/4053459-OGE-Kushner-20170720.html,https://www.documentcloud.org/documents/4053459-OGE-Kushner-20170720.html,https://www.documentcloud.org/documents/4053458-OGE-Ivanka-20170720.html,,,checked,,Active,
,approved,Missing from Working Database 06/23/2018 -SWANSON,,2 Rector Kushner,"""2 Rector Street (NY) JV, LLC (Commercial Real Estate in New York, NY)""",Jared Kushner,"""2 Rector Kushner Member LLC (Commercial Real Estate In New York, NY)""",,,,,,,,0,Active,,,,,,,,,
,approved,*Missing. Added on: 7/20/2018 ~Swanson,,2 Rector Kushner,"""2 Rector Street (NY) JV, LLC (Commercial Real Estate in New York, NY)""",Ivanka Trump,"""2 Rector Kushner Member LLC (Commercial Real Estate In New York, NY)""",,,,,,,0.0,0,Active,https://www.documentcloud.org/documents/4053458-OGE-Ivanka-20170720.html,,,,,checked,,,
,approved,This is disclosed as a child company but not disclosed elsewhere on his list of assets. ,,2 Rector Kushner,"""2 Rector Street (NY), LLC (Commercial Real Estate in New York, NY)""",Jared Kushner,"""2 Rector Street (NY) JV, LLC (Commercial Real Estate in New York, NY)""",,,,,,,,0,Active,,,,,,,,,
,approved,*Missing. Added on: 7/20/2018 ~Swanson,,2 Rector Kushner,"""2 Rector Street (NY), LLC (Commercial Real Estate in New York, NY)""",Ivanka Trump,"""2 Rector Street (NY) JV, LLC (Commercial Real Estate in New York, NY)""",,,,,,,0.0,0,Active,https://www.documentcloud.org/documents/4053458-OGE-Ivanka-20170720.html,,,,,checked,,,
3,approved,,"Pres. Trump resigned as president of 4 Shadow Tree Lane LLC, but retains an ownership interest. The company reportedly has no independent value or income, is not inactive nor dormant, and is not part of an entity structure or license deal.",4 Shadow Tree Lane,4 Shadow Tree Lane LLC,Donald Trump,4 Shadow Tree Lane Member Corp,1.0,DJT Holdings LLC,99.0,,0.0,,0.0,100,Active,https://assets.documentcloud.org/documents/2838696/Trump-2016-Financial-Disclosure.pdf,,,,checked,,,Active,checked
4,approved,,"Pres. Trump resigned as president/director/chairman of 4 Shadow Tree Lane Member Corp., but retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.",4 Shadow Tree Lane,4 Shadow Tree Lane Member Corp,Donald Trump,DJT Holdings Managing Member LLC,100.0,,0.0,,0.0,,0.0,100,Active,https://assets.documentcloud.org/documents/2838696/Trump-2016-Financial-Disclosure.pdf,,,,checked,,,Active,checked
9,approved,,Pres. Trump retains an ownership interest in the now-dormant or inactive 4T Holdings One LLC. Any current or former positions he may have held with the company are not reported on his financial disclosures.,4T Holdings One,"""4T Holdings One LLC (Holding Company for Future Interests In Trump Hotel Manager Entities; New York, NY)""",Donald Trump,TTTT Venture LLC,100.0,,0.0,,0.0,,0.0,100,Active,https://assets.documentcloud.org/documents/2838696/Trump-2016-Financial-Disclosure.pdf,,,,checked,,,Active,checked
720,approved,"July 27, 2018 HN: Can we give this a friendly name of the entity it's a holding company for? ","Ivanka Trump lists 4T Holdings One LLC (Holding company for future interests in Trump hotel manager entities; New York, NY) as an employment-related asset valued at (no value reported). In the year before taking her unpaid position as assistant to her father in his presidency, she earned (no income reported) in (no income type reported) income.",4T Holdings One,"""4T Holdings One LLC (Holding Company for Future Interests In Trump Hotel Manager Entities; New York, NY)""",Ivanka Trump,,,,,,,,0.0,0,Active,https://www.documentcloud.org/documents/4053458-OGE-Ivanka-20170720.html,,,,,checked,,Active,
10,approved,,Pres. Trump retains an ownership interest in the now-dormant or inactive 4T Holdings Two LLC. Any current or former positions he may have held with the company are not reported on his financial disclosures.,4T Holdings Two,"""4T Holdings Two LLC (Holding Company for Future Interests In Scion And Szion Manager Entities; New York, NY)""",Donald Trump,TTTT Venture LLC,100.0,,0.0,,0.0,,0.0,100,Active,https://assets.documentcloud.org/documents/2838696/Trump-2016-Financial-Disclosure.pdf,,,,checked,,,Active,
721,approved,"July 27, 2018 HN: Can we give this a friendly name of the entity it's a holding company for? ","Ivanka Trump lists 4T Holdings Two LLC (Holding company for future interests in Scion and Szion manager entities; New York, NY) as an employment-related asset valued at (no value reported). In the year before taking her unpaid position as assistant to her father in his presidency, she earned (no income reported) in (no income type reported) income.",4T Holdings Two,"""4T Holdings Two LLC (Holding Company for Future Interests In Scion And Szion Manager Entities; New York, NY)""",Ivanka Trump,,,,,,,,0.0,0,Active,https://www.documentcloud.org/documents/4053458-OGE-Ivanka-20170720.html,,,,,checked,,Active,
722,approved,,"Jared Kushner served as Vice President &amp; Secretary of 5 Thornton Road Associates, LLC from May 1, 2014, to Jan 1, 2017.",CK Bergen Associates,"""5 Thornton Road Associates, LLC""",Jared Kushner,"""CK Bergen Associates, LLC (Industrial Real Estate in Fairlawn & Oakland, NJ)""",,,,,,,0.0,0,Active,https://www.documentcloud.org/documents/4053459-OGE-Kushner-20170720.html,,,,,checked,,Resolved,
