Name,ConflictStatus,Story Count,Description,Notes,Publishable,InternalNotes,Stories,Ethics Doc Lines,Eric,Melania,Junior,Trump,Ivanka,Jared,Conflicting Entities,Internal Review,Draft Description
1 Journal Square Partners,Resolved,0,,,Approved,connected to record w/ no ID,,Unnamed record,,,,,,,,,
2 Rector Kushner,Active,0,,,Approved,connected to record w/ no ID,,"676,678,Unnamed record,Unnamed record,Unnamed record,Unnamed record",,,,,,,,,
4 Shadow Tree Lane,Active,0,,,Approved,,,"3,4",,,,,,,,,
4T Holdings One,Active,0,,,Approved,,,"9,720",,,,,,,,,
4T Holdings Two,Active,0,,,Approved,,,"10,721,Unnamed record",,,,,,,,,
20 de Bariloche,Resolved,0,,,Approved,,,"681,682",,,,,,,,,
21st Century Fox,Resolved,0,,,Approved,,,"695,696",,,,,,,,,
26 Journal Square,Unclear,1,,,Approved,NOTE: this isn't connected to a biz entity but it IS connected to a story. ,https://www.nj.com/news/index.ssf/2018/08/a_failed_new_york_investment_by_jared_kushner_gets.html,,,,,,,checked,,,
30 Florham Associates,Active,0,,,Approved,,,"702,703",,,,,,,,,
40 Wall Street,Active,1,,,Approved,,https://www.bloomberg.com/graphics/2016-trump-40-wall-street/,"5,6,7,8,712",,,,checked,,,,,
42Floors,Active,0,,,Approved,,,717,,,,,,,,,
44th Street Realty,Resolved,0,,,Approved,,,719,,,,,,,,,
55 Challenger Road Associates,Active,0,,,Approved,connected to record w/ no ID,,"728,730,731,Unnamed record",,,,,,,,,
55 Wall Development,Unclear,0,,,Approved,,,619,,,,,,,,,
65 Bay,Active,1,,,Approved,connected to record w/ no ID,https://www.nj.com/news/index.ssf/2018/08/a_failed_new_york_investment_by_jared_kushner_gets.html,"735,736,1321,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record",,,,,,checked,,,
80 ML,Active,0,,,Approved,connected to record w/ no ID,,"744,741,745,1387,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record",,,,,,,,,
81 Pine Note Holder,Active,0,,,Approved,,,14,,,,,,,,,
115 East 87,Active,0,,,Approved,,,"657,656",,,,,,,,,
175 Pearl Street,Active,1,,,Approved,NOTE: this isn't connected to a biz entity but it IS connected to a story. ,https://www.bloomberg.com/amp/news/articles/2018-03-13/kushner-conflict-cloud-hovers-over-brooklyn-sale-linked-to-japan,,,,,,,checked,,,
184 Kent Associates,Active,0,,,Approved,connected to record w/ no ID,,"670,671,1187,1509,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record",,,,,,,,,
200 East 62nd,Active,0,,,Approved,,,"687,683,684,686,685,688",,,,,,,,,
212 5th,Active,0,,,Approved,,,"690,689,692,691,693,694",,,,,,,,,
401 Mezz Venture,Active,0,,,Approved,,,,,,,,,,,,
411 West Putnam Avenue,Active,0,,,Approved,,,"716,715",,,,,,,,,
502 6G,Active,0,,,Approved,,,"723,724",,,,,,,,,
570 West Mt. Pleasant,Active,0,,,Approved,,,"732,733,734",,,,,,,,,
666 Fifth Ave,Unclear,7,,no record,Approved,NOTE: this isn't connected to a biz entity but it IS connected to a story. ,"https://amp.businessinsider.com/charles-kushner-qatar-finance-minister-meeting-666-fifth-ave-2018-6,https://www.nytimes.com/2018/05/17/nyregion/kushner-deal-qatar-666-5th.html,https://www.washingtonpost.com/politics/jared-kushner-and-ivanka-trump-made-at-least-82-million-in-outside-income-last-year-while-serving-in-the-white-house-filings-show/2018/06/11/a41d0720-6dab-11e8-bd50-b80389a4e569_story.html?utm_term=.9b5baa8980b3,https://money.cnn.com/2018/08/03/news/companies/kushner-666-fifth-avenue-brookfield/index.html,https://www.bloomberg.com/amp/news/articles/2018-08-04/kushners-give-up-control-of-manhattan-tower-to-save-themselves,https://www.nj.com/news/index.ssf/2018/08/a_failed_new_york_investment_by_jared_kushner_gets.html,https://www.vanityfair.com/news/2019/02/qatar-666-5th-ave-jared-kushner/amp",,,,,,,checked,,,
666 KC Management,Unclear,0,,See all notes in Ethics Doc Lines for both Jared & Ivanka. - CS,Approved,connected to record w/ no ID,,"737,738,Unnamed record,Unnamed record",,,,,,,,,
715 Park Avenue Associates,Active,0,,,Approved,,,"740,739",,,,,,,,,
721 33H,Active,0,,,Approved,,,"586,642,587",,,,,,,,,
767 Manager LLC,Unclear,0,,,Approved,,,11,,,,,,,,,
809 North Canon,Active,0,,Conflict status is active on Donald '17 and resolved on Ivanka '17.,Approved,,,"12,13,747,748",,,,,,,,,
845 UN,Active,0,,,Approved,,,,,,,,,,,,
"1290 Avenue Of The Americas, A Tenancy-In-Common",Active,2,,,Approved,,"https://www.nytimes.com/2016/08/21/us/politics/donald-trump-debt.html,https://www.forbes.com/sites/chasewithorn/2018/10/24/what-you-dont-know-about-trump-the-huge-holes-in-disclosure-rules-and-how-they-could-be-fixed/amp/",1,,,,checked,,,,,
3126 Corporation,Unclear,0,,missing status,Approved,,,2,,,,,,,,,
Ace Entertainment (Formerly Trump Casinos Or Trump Taj Mahal),Active,1,,,Approved,,https://www.washingtonpost.com/business/trump-tees-up-medal-for-tiger-woods-some-question-motives/2019/05/06/a000bd26-7043-11e9-9331-30bc5836f48e_story.html?utm_term=.93e46f8d5475,16,,,,,,,,,
All County Building Supply & Maintenance,Active,0,,,Approved,,,17,,,,,,,,,
Amboy Bank,Active,0,,,Approved,,,Unnamed record,,,,,,,,,
American Federation of Television and Radio Artists,Active,0,,,Approved,,,Unnamed record,,,,,,,,,
American Idea,Unclear,2,,,Approved,NOTE: this isn't connected to a biz entity but it IS connected to a story. ,"https://mobile.nytimes.com/2018/06/21/business/trumps-kushners-end-hotel-deals.html,https://www.washingtonpost.com/business/economy/trumps-sons-are-running-the-business--and-their-big-hotel-expansion-is-at-a-standstill/2019/01/03/d7016168-f96a-11e8-8c9a-860ce2a8148f_story.html?utm_term=.836bed545c44",,checked,,checked,checked,,checked,,,
Annie Veltri,Active,0,,,Approved,,,18,,,,,,,,,
Apollo Management,Unclear,1,,,Approved,NOTE: this isn't connected to a biz entity but it IS connected to a story. ,https://www.oge.gov/web/oge.nsf/All%20Documents/2C62A672E2AF5BAC8525825C00518004/$FILE/Letter%20to%20Congressman%20Krishnamoorthi.pdf?open,,,,,,,checked,,,
Apple,Unclear,1,"Though he tried to start a boycott against Apple AAPL +0.55% in February -- after the iPhone maker refused to help the Federal Bureau of Investigation break into one of the San Bernardino shooters’ phone -- Trump held onto his shares in the tech company, which were worth as much as $2 million in May, according to Trump’s May 2016 Federal Election Commission filing, which provides a range of values for each of his stock holdings.",,Approved,NOTE: this isn't connected to a biz entity but it IS connected to a story. ,https://www.forbes.com/sites/jenniferwang/2016/11/29/trumps-stock-portfolio-big-oil-big-banks-and-more-foreign-connections/#30d204ea464e,,,,,checked,,,,,
Artwork,Active,0,,,To Discuss,,,759,,,,,,,,requires review,
AT&T,Unclear,3,,,Approved,NOTE: this isn't connected to a biz entity but it IS connected to a story. ,"https://www.citizen.org/sites/default/files/may_2018_cohen_complaint_final.pdf,https://www.cnn.com/2018/05/09/politics/michael-cohen-trump-lobbying/index.html,https://www.cnn.com/2019/03/07/media/house-democrats-att-time-warner-trump/index.html",,,,,checked,,,,,
Aviation Payroll Company,Active,0,,,Approved,,,19,,,,,,,,,
B Monmouth Mall,Resolved,0,,,Approved,connected to record w/ no ID,,"766,765,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record",,,,,,,,,
B Plaza Realty,Resolved,0,,,Approved,,,20,,,,,,,,,
Bahrain,Unclear,2,In 2016 the hotel was host to a National Day celebration for the Kingdom of Bahrain.,,Approved,NOTE: this isn't connected to a biz entity but it IS connected to a story. ,"http://www.huffingtonpost.com/entry/donald-trump-bahrain_us_583de2a5e4b0c33c8e1282d0?inyv55o07g8horms4i,https://www.nytimes.com/2018/12/12/us/politics/giuliani-consulting-abroad.html",,,,,checked,,,,,
Bank of America,Active,1,,,Approved,,https://www.cnn.com/2019/04/15/politics/deutsche-bank-subpoena/index.html,"770,768",,,,checked,,,,,
Bank of China,Unclear,4,"The populist billionaire has other Canadian holdings, including $500,000 to $1 million investments in the Bank of Nova Scotia and the Toronto Dominion Bank, and $1 million to $5 million worth of shares in the Royal Bank of Canada. Such investments add to the array of connections Trump already has with foreign entities - including nine figure debts owed to German lender Deutsche Bank and China’s state-controlled Bank of China.",,Approved,NOTE: this isn't connected to a biz entity but it IS connected to a story. ,"https://www.forbes.com/sites/jenniferwang/2016/11/29/trumps-stock-portfolio-big-oil-big-banks-and-more-foreign-connections/#30d204ea464e,https://www.forbes.com/sites/chasewithorn/2018/10/24/what-you-dont-know-about-trump-the-huge-holes-in-disclosure-rules-and-how-they-could-be-fixed/amp/,https://therealdeal.com/2018/09/05/one-of-trump-towers-largest-commercial-tenants-inks-100k-sf-lease-on-sixth-ave/,https://www.bloomberg.com/news/articles/2019-01-09/china-s-biggest-bank-said-to-reduce-space-at-nyc-s-trump-tower",,,,,checked,,,,,
Bank of New York Mellon Trust Company,Resolved,0,,,Approved,,,Unnamed record,,,,,,,,,
Bank of Nova Scotia,Unclear,1,"The populist billionaire has other Canadian holdings, including $500,000 to $1 million investments in the Bank of Nova Scotia and the Toronto Dominion Bank, and $1 million to $5 million worth of shares in the Royal Bank of Canada. Such investments add to the array of connections Trump already has with foreign entities - including nine figure debts owed to German lender Deutsche Bank and China’s state-controlled Bank of China.",,Approved,NOTE: this isn't connected to a biz entity but it IS connected to a story. ,https://www.forbes.com/sites/jenniferwang/2016/11/29/trumps-stock-portfolio-big-oil-big-banks-and-more-foreign-connections/#30d204ea464e,,,,,checked,,,,,
Bank United,Active,0,,,Approved,,,Unnamed record,,,,,,,,,
Battery Park City,Resolved,0,,,Approved,,,"772,771",,,,,,,,,
Bedford Hills,Active,0,,,Approved,,,21,,,,,,,,,
Berkshire Hathaway,Unclear,1,"According to Trump’s May 2016 Federal Election Commission filing, which provides a range of values for each of his stock holdings, he owns shares in Berkshire Hathaway, run by one of his fiercest critics, Warren Buffett.",,Approved,NOTE: this isn't connected to a biz entity but it IS connected to a story. ,https://www.forbes.com/sites/jenniferwang/2016/11/29/trumps-stock-portfolio-big-oil-big-banks-and-more-foreign-connections/#30d204ea464e,,,,,checked,,,,,
BFPS Ventures,Active,0,,,Approved,,,,,,,,,,,,
BlackRock Financial Management,Active,0,,"*In the Ethics Doc Lines tab, there are multiple entities for this when filtered for Jared. A couple Active status, and one Resolved. Marking it Active here until further instruction. - CS",Approved,,,"1061,1069,1071,Unnamed record,Unnamed record,1060,1062,1064,1070",,,,,,,,,
Blackstone Group,Resolved,0,,,Approved,,,"776,777",,,,,,,,,
BLS Investors,Resolved,0,,,Approved,,,779,,,,,,,,,
BLS Manager,Resolved,0,,,Approved,,,780,,,,,,,,,
Boeing,Resolved,0,,,Approved,,,"781,786",,,,,,,,,
"Boston, MA",Resolved,0,,,Approved,,,"787,788",,,,,,,,,
Briar Hall Operations,Active,0,,,Approved,,,"23,22",,,,,,,,,
Broadband Proliferation Partners,Active,0,,,Approved,,,"789,790",,,,,,,,,
Brookfield Asset Management,Unclear,6,,,Approved,NOTE: this isn't connected to a biz entity but it IS connected to a story. ,"https://www.nytimes.com/2018/05/17/nyregion/kushner-deal-qatar-666-5th.html,https://www.nytimes.com/2018/07/11/business/jared-kushner-business-washington.html,https://money.cnn.com/2018/08/03/news/companies/kushner-666-fifth-avenue-brookfield/index.html,https://money.cnn.com/2018/08/03/news/companies/kushner-666-fifth-avenue-brookfield/index.html,https://www.bloomberg.com/amp/news/articles/2018-08-04/kushners-give-up-control-of-manhattan-tower-to-save-themselves,https://www.nj.com/news/index.ssf/2018/08/a_failed_new_york_investment_by_jared_kushner_gets.html",,,,,,,checked,,,
Bruckner Plaza Center,Resolved,0,,,Approved,Why does the Ethics Docs Lines field in this table say this is attached to an unnamed record?,,"794,795,792,793,797,840,994,995,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,791,839,993",,,,,,,,,
Brynwood Gardens,Active,0,,,Approved,,,"800,799",,,,,,,,,
Bungalow Hotel,,1,,,Approved,"5/16/2019 HN: There were two ""Bungalow Hotel"" conflicts (both connected to the same story and only that story) so I deleted one and kept this one.",https://www.nj.com/news/index.ssf/2018/08/a_failed_new_york_investment_by_jared_kushner_gets.html,,,,,,,checked,,,
C Development Ventures,Active,0,,"Active on Donald. Resolved on Ivanka.
",Approved,,,"25,24,802,803",,,,,,,,,
C-III Capital Partners,Resolved,0,,,Approved,connected to record w/ no ID,,"805,Unnamed record",,,,,,,,,
C-III Recovery Fund I,Resolved,0,,"*This may be another example of an entity getting a friendly name assigned and later on finding it's parent in another entity structure in the disclosure and the parent ends up being the friendly name. Either way, in this example, both entities are listed as Resolved in the Ethics Doc Lines for Jared.",Approved,,,804,,,,,,,,,
