Id,Description,FamilyMember,ConflictingEntity,Source1,Date1,Source2,Date2,Source3,Date3,Category,Notes,DateAddedOrEdited
1,"More than 150 financial institutions hold debts connected to the President-elect, according to a Wall Street Journal analysis. Trump's business interests hold debt upwards of $650 million, owed in part to Bank of China and Goldman Sachs.",Donald Trump,(various),Wall Street Journal,5-Jan-17,New York Times,6-Nov-16,New York Times,20-Aug-16,active,,5-Jul-17
2,Huge perks for inauguration donors,Donald Trump,(various),Center for Public Integrity,29-Nov-16,,,,,active,,5-Jul-17
3,"Pres. Trump retains an ownership interest in 1290 Avenue of the Americas, A Tenancy-In-Common. Any current or former positions with the company have not been reported in his financial disclosures. ",Donald Trump,"1290 Avenue of the Americas, A Tenancy-In-Common",Office of Government Ethics,18-May-16,Office of Government Ethics,18-May-16,Office of Government Ethics,15-Jul-15,active,,5-Jul-17
4,"Pres. Trump resigned as president/director of 3126 Corporation; however, its ownership structure is unclear, as it has not been reported on his financial disclosures. ",Donald Trump,3126 Corporation,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,Office of Government Ethics,15-Jul-15,potential,,5-Jul-17
5,"Pres. Trump resigned as president of 4 Shadow Tree Lane LLC, but retains an ownership interest. The company reportedly has no independent value or income, is not inactive nor dormant, and is not part of an entity structure or license deal. ",Donald Trump,4 Shadow Tree Lane LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
6,"Pres. Trump resigned as president/director/chairman of 4 Shadow Tree Lane Member Corp., but retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.  ",Donald Trump,4 Shadow Tree Lane Member Corp,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
7,"Pres. Trump resigned as a member and president of 40 Wall Development Associates LLC, but retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.  ",Donald Trump,40 Wall Development Associates LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
8,"Pres. Trump resigned as president of 40 Wall Street Commercial LLC, but retains an ownership interest.",Donald Trump,40 Wall Street Commercial LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
9,"Pres. Trump resigned his position from 40 Wall Street LLC, but retains an ownership interest.",Donald Trump,40 Wall Street LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
10,"Pres. Trump resigned his position from 40 Wall Street Member Corp., but retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,40 Wall Street Member Corp,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
11,"Pres. Trump resigned his position from 401 Mezz Venture LLC, but retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.  ",Donald Trump,401 Mezz Venture LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
12,"Pres. Trump resigned his position from 401 North Wabash Venture LLC, but retains an ownership interest.",Donald Trump,401 North Wabash Venture LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
13,Pres. Trump retains an ownership interest in the now-dormant or inactive 4T Holdings One LLC. Any current or former positions he may have held with the company are not reported on his financial disclosures. ,Donald Trump,4T Holdings One LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
14,Pres. Trump retains an ownership interest in the now-dormant or inactive 4T Holdings Two LLC. Any current or former positions he may have held with the company are not reported on his financial disclosures. ,Donald Trump,4T Holdings Two LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
15,Former president/director of 55 Wall Development Corp. The company's current activity status and ownership structure are not clear.,Donald Trump,55 Wall Development Corp,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,,,potential,,5-Jul-17
16,"Pres. Trump announced the day before his inauguration that he had resigned from 721 33H Holdings LLC. However, his 2017 financial disclosure reveals that it remains an asset or source of income for his wife, Melania. (See listings for 721 33H Holdings LLC and 721 33H LLC.) Trump is not reporting that he personally holds an ownership stake. ",Donald Trump,721 33H Holdings LLC ,Office of Government Ethics,14-Jun-17,CNN,23-Jan-17,,,active,,5-Jul-17
17,Former member & president of 767 Manager LLC (resigned 2014). The company's current activity status and ownership structure is not disclosed. (See also: Trump 767 Management LLC) ,Donald Trump,767 Manager LLC,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,,,potential,,5-Jul-17
18,"Pres. Trump resigned his position from 809 North Canon LLC, but retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.  ",Donald Trump,809 North Canon LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
19,"Pres. Trump resigned his position from 809 North Canon Member Corporation, but retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.  ",Donald Trump,809 North Canon Member Corporation,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
20,"Pres. Trump resigned his position from 81 Pine Note Holder Inc., which is reportedly dormant or inactive. However, he retains an ownership interest. ",Donald Trump,81 Pine Note Holder Inc,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
21,Pres. Trump retains an ownership interest in 845 UN Limited Partnership. Any current or former positions with the company have not been reported in his financial disclosures. ,Donald Trump,845 UN Limited Partnership,Office of Government Ethics,18-May-16,Office of Government Ethics,18-May-16,Office of Government Ethics,15-Jul-15,active,,5-Jul-17
