fiscalYear,fiscalYearType,appropriationType,account,agency,operatingUnit,category,sector,amount
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Afghanistan,Peace and Security,Combating Weapons of Mass Destruction (WMD),760000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Afghanistan,Peace and Security,Counter-Narcotics,319745000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Afghanistan,Peace and Security,Stabilization Operations and Security Sector Reform,10840367000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Algeria,Peace and Security,Counter-Narcotics,82000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Argentina,Peace and Security,Counter-Narcotics,384000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Armenia,Peace and Security,Combating Weapons of Mass Destruction (WMD),16270000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Azerbaijan,Peace and Security,Combating Weapons of Mass Destruction (WMD),17590000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Barbadas,Peace and Security,Counter-Narcotics,130000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Belize,Peace and Security,Counter-Narcotics,13114000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Benin,Peace and Security,Counter-Narcotics,82000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Bolivia,Peace and Security,Counter-Narcotics,82000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Botswana,Peace and Security,Counter-Narcotics,82000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Brazil,Peace and Security,Counter-Narcotics,1012000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Brunei Darussalam,Peace and Security,Counter-Narcotics,43000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Bulgaria,Peace and Security,Counter-Narcotics,51000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Burkina Faso,Peace and Security,Counter-Narcotics,82000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Cambodia,Peace and Security,Counter-Narcotics,1681000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Cameroon,Peace and Security,Counter-Narcotics,833000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Cape Verde,Peace and Security,Counter-Narcotics,1696000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Chile,Peace and Security,Counter-Narcotics,604000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,China,Peace and Security,Counter-Narcotics,199000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Colombia,Peace and Security,Counter-Narcotics,110398000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Comoros,Peace and Security,Counter-Narcotics,82000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Costa Rica,Peace and Security,Counter-Narcotics,2714000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Djibouti,Peace and Security,Combating Weapons of Mass Destruction (WMD),3310000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Dominican Republic,Peace and Security,Counter-Narcotics,5682000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Ecuador,Peace and Security,Counter-Narcotics,6274000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,El Salvador,Peace and Security,Counter-Narcotics,7462000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Fiji,Peace and Security,Counter-Narcotics,43000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Gabon,Peace and Security,Counter-Narcotics,82000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Georgia,Peace and Security,Combating Weapons of Mass Destruction (WMD),53690000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Georgia,Peace and Security,Counter-Narcotics,102000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Ghana,Peace and Security,Counter-Narcotics,736000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Guatemala,Peace and Security,Counter-Narcotics,19331000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Haiti,Peace and Security,Counter-Narcotics,110000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Honduras,Peace and Security,Counter-Narcotics,8500000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,India,Peace and Security,Combating Weapons of Mass Destruction (WMD),1260000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,India,Peace and Security,Counter-Narcotics,43000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Indonesia,Peace and Security,Counter-Narcotics,1481000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Iraq,Peace and Security,Combating Weapons of Mass Destruction (WMD),880000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Iraq,Peace and Security,Stabilization Operations and Security Sector Reform,66500000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Jamaica,Peace and Security,Counter-Narcotics,774000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Kazakhstan,Peace and Security,Combating Weapons of Mass Destruction (WMD),101140000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Kazakhstan,Peace and Security,Counter-Narcotics,1797000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Kenya,Peace and Security,Combating Weapons of Mass Destruction (WMD),11440000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Kenya,Peace and Security,Counter-Narcotics,327000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Kyrgyz Republic,Peace and Security,Counter-Narcotics,13881000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Lebanon,Peace and Security,Counter-Narcotics,2260000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Liberia,Peace and Security,Counter-Narcotics,490000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Libya,Peace and Security,Combating Weapons of Mass Destruction (WMD),30000000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Macedonia,Peace and Security,Counter-Narcotics,712000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Malaysia,Peace and Security,Counter-Narcotics,1907000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Maldives,Peace and Security,Counter-Narcotics,89000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Mauritania,Peace and Security,Counter-Narcotics,1050000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Mexico,Peace and Security,Counter-Narcotics,84690000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Morocco,Peace and Security,Counter-Narcotics,163000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Mozambique,Peace and Security,Counter-Narcotics,490000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Nicaragua,Peace and Security,Counter-Narcotics,3258000
