Description,FamilyMember,ConflictingEntity,Source1,Date1,Source2,Date2,Source3,Date3,Category,Notes,DateAddedOrEdited
"More than 150 financial institutions hold debts connected to the President-elect, according to a Wall Street Journal analysis. Trump's business interests hold debt upwards of $650 million, owed in part to Bank of China and Goldman Sachs.",Donald Trump,(various),Wall Street Journal,5-Jan-17,New York Times,6-Nov-16,New York Times,20-Aug-16,active,,5-Jul-17
Huge perks for inauguration donors,Donald Trump,(various),Center for Public Integrity,29-Nov-16,,,,,active,,5-Jul-17
"Pres. Trump retains an ownership interest in 1290 Avenue of the Americas, A Tenancy-In-Common. Any current or former positions with the company have not been reported in his financial disclosures. ",Donald Trump,"1290 Avenue of the Americas, A Tenancy-In-Common",Office of Government Ethics,18-May-16,Office of Government Ethics,18-May-16,Office of Government Ethics,15-Jul-15,active,,5-Jul-17
"Pres. Trump resigned as president/director of 3126 Corporation; however, its ownership structure is unclear, as it has not been reported on his financial disclosures. ",Donald Trump,3126 Corporation,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,Office of Government Ethics,15-Jul-15,potential,,5-Jul-17
"Pres. Trump resigned as president of 4 Shadow Tree Lane LLC, but retains an ownership interest. The company reportedly has no independent value or income, is not inactive nor dormant, and is not part of an entity structure or license deal. ",Donald Trump,4 Shadow Tree Lane LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Pres. Trump resigned as president/director/chairman of 4 Shadow Tree Lane Member Corp., but retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.  ",Donald Trump,4 Shadow Tree Lane Member Corp,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Pres. Trump resigned as a member and president of 40 Wall Development Associates LLC, but retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.  ",Donald Trump,40 Wall Development Associates LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Pres. Trump resigned as president of 40 Wall Street Commercial LLC, but retains an ownership interest.",Donald Trump,40 Wall Street Commercial LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Pres. Trump resigned his position from 40 Wall Street LLC, but retains an ownership interest.",Donald Trump,40 Wall Street LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Pres. Trump resigned his position from 40 Wall Street Member Corp., but retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,40 Wall Street Member Corp,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Pres. Trump resigned his position from 401 Mezz Venture LLC, but retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.  ",Donald Trump,401 Mezz Venture LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Pres. Trump resigned his position from 401 North Wabash Venture LLC, but retains an ownership interest.",Donald Trump,401 North Wabash Venture LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
Pres. Trump retains an ownership interest in the now-dormant or inactive 4T Holdings One LLC. Any current or former positions he may have held with the company are not reported on his financial disclosures. ,Donald Trump,4T Holdings One LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
Pres. Trump retains an ownership interest in the now-dormant or inactive 4T Holdings Two LLC. Any current or former positions he may have held with the company are not reported on his financial disclosures. ,Donald Trump,4T Holdings Two LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
Former president/director of 55 Wall Development Corp. The company's current activity status and ownership structure are not clear.,Donald Trump,55 Wall Development Corp,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,,,potential,,5-Jul-17
"Pres. Trump announced the day before his inauguration that he had resigned from 721 33H Holdings LLC. However, his 2017 financial disclosure reveals that it remains an asset or source of income for his wife, Melania. (See listings for 721 33H Holdings LLC and 721 33H LLC.) Trump is not reporting that he personally holds an ownership stake. ",Donald Trump,721 33H Holdings LLC ,Office of Government Ethics,14-Jun-17,CNN,23-Jan-17,,,active,,5-Jul-17
Former member & president of 767 Manager LLC (resigned 2014). The company's current activity status and ownership structure is not disclosed. (See also: Trump 767 Management LLC) ,Donald Trump,767 Manager LLC,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,,,potential,,5-Jul-17
"Pres. Trump resigned his position from 809 North Canon LLC, but retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.  ",Donald Trump,809 North Canon LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Pres. Trump resigned his position from 809 North Canon Member Corporation, but retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.  ",Donald Trump,809 North Canon Member Corporation,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Pres. Trump resigned his position from 81 Pine Note Holder Inc., which is reportedly dormant or inactive. However, he retains an ownership interest. ",Donald Trump,81 Pine Note Holder Inc,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
Pres. Trump retains an ownership interest in 845 UN Limited Partnership. Any current or former positions with the company have not been reported in his financial disclosures. ,Donald Trump,845 UN Limited Partnership,Office of Government Ethics,18-May-16,Office of Government Ethics,18-May-16,Office of Government Ethics,15-Jul-15,active,,5-Jul-17
"Pres. Trump resigned his position from Ace Entertainment Holdings Inc. (F/K/A Trump Casinos, F/K/A Inc. Trump Taj Mahal, Inc.), which is reportedly dormant or inactive. However, he retains an ownership interest. ",Donald Trump,"Ace Entertainment Holdings Inc. (F/K/A Trump Casinos, F/K/A Inc. Trump Taj Mahal, Inc.)",Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
Pres. Trump retains an ownership interest in the now-dormant or inactive All County Building Supply & Maintenance Corp. Any current or former positions with the company have not been reported in his financial disclosures. ,Donald Trump,All County Building Supply & Maintenance Corp.,Office of Government Ethics,18-May-16,Office of Government Ethics,18-May-16,Office of Government Ethics,15-Jul-15,active,,5-Jul-17
"Pres. Trump resigned his position from Aviation Payroll Company, in which he retains an ownership interest. The company reportedly has no independent value or income, and provides back office support functions to other entities. ",Donald Trump,Aviation Payroll Company,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Pres. Trump resigned his position from B Plaza Realty Corp., which reportedly was dissolved on Nov. 10, 2016. ",Donald Trump,B Plaza Realty Corp.,Office of Government Ethics,14-Jun-17,,,,,resolved,,5-Jul-17
Bahrain to hold major event at Trump’s D.C. hotel,Donald Trump,Bahrain,Huffington Post,29-Nov-16,,,,,active,,5-Jul-17
"Part owner, with unnamed family members, of the dormant or inactive company Beach Haven Apartments #3 LLC.",Donald Trump,Beach Haven Apartments #3 LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Part owner, with unnamed family members, of Beach Haven Apt#1. Inc. The company reportedly has no independent value or income, and is part of other entity structures.",Donald Trump,Beach Haven Apt#1. Inc.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Part owner, with unnamed family members, of the now dormant or inactive company Beach Haven Shopping Center LLC.",Donald Trump,Beach Haven Shopping Center LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Pres. Trump resigned as director and president/treasurer/secretary of Bedford Hills Corp., but he retains an ownership interest. ",Donald Trump,Bedford Hills Corp,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
Pres. Trump resigned as a member of the now dormant or inactive Briar Hall Operations LLC. He retains an ownership interest. ,Donald Trump,Briar Hall Operations LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Pres. Trump resigned as director and president/treasurer/secretary of Briarcliff Properties, Inc. The company reportedly has no independent value or income, and is part of other entity structures. Trump retains an ownership interest.",Donald Trump,"Briarcliff Properties, Inc.",Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former president/member of the now-dormant or inactive C Development Ventures LLC, in which Pres. Trump retains an ownership interest.",Donald Trump,C Development Ventures LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former president/director/chairman of the now-dormant or nactive C Development Ventures Member Corp., in which Pres. Trump retains an ownership interest.",Donald Trump,C Development Ventures Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Pres. Trump retains an ownership interest in Caribusiness Investments, S.R.L. Any position with the company that he may hold or may have held in the past has not been disclosed. ",Donald Trump,"Caribusiness Investments, S.R.L.",Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,Office of Government Ethics,15-Jul-15,active,,5-Jul-17
"Former member of Caribusiness MRE LLC, in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,Caribusiness MRE LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
Former member of the now dormant or inactive Chelsea Hall LLC. Pres. Trump retains an ownership interest. ,Donald Trump,Chelsea Hall LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/president of Chicago Unit Acquisition LLC, in which Pres. Trump retains an owernship interest. The company reportedly has no independent value or income, is not inactive nor dormant, and is not part of an entity structure or license deal.",Donald Trump,Chicago Unit Acquisition LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/president of the now-dormant or inactive China Trademark LLC, in which Pres. Trump retains an owernship interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,China Trademark LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Part-owner, with unnamed family members, of the now-dormant or inactive Clyde Hall, Inc. Any position with the company that he may hold or may have held in the past has not been disclosed.",Donald Trump,"Clyde Hall, Inc.",Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
Former director/vice-president of the now-dormant or inactive Coronet Hall Inc. ,Donald Trump,Coronet Hall Inc. ,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Part-owner, with unnamed family members, of Country Apartments, LLC. Any position with the company that he may hold or may have held in the past has not been disclosed.",Donald Trump,"Country Apartments, LLC ",Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Part-owner, with unnamed family members, of the now-dormant or inactive Country Investors LLC. Any position with the company that he may hold or may have held in the past has not been disclosed.",Donald Trump,Country Investors LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Part-owner, with unnamed family members, of Country Properties, LLC. Any position with the company that he may hold or may have held in the past has not been disclosed.",Donald Trump,"Country Properties, LLC",Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/presdient of D B Pace Acquisition Member Corp., in which Pres. Trump retains an ownership interest.",Donald Trump,D B Pace Acquisition Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/presdient of D B Pace Acquisition, LLC, in which Pres. Trump retains an ownership interest.",Donald Trump,"D B Pace Acquisition, LLC.",Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former president/secretary and director of Development Member Inc., in which Pres. Trump retains an ownership interest.",Donald Trump,Development Member Inc.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former president/director of the now-dormant or inactive DJ Aerospace (Bermuda) Limited, of which Trump has retained an ownership stake through The Donald J. Trump Revocable Trust. ",Donald Trump,DJ Aerospace (Bermuda) Limited,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/president of DJT Aerospace LLC, of which Trump retains an ownership stake through The Donald J. Trump Revocable Trust. According to a financial disclosure, the sole assets are aircraft.",Donald Trump,DJT Aerospace LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
