description,familyMember,conflictingEntity,category,notes,dateChanged
"Pres. Trump allegedly paid a former porn star to keep quiet about their affair in 2006. She is now suing Trump, claiming the non-disclosure agreement is invalid.",Donald Trump,"Stephanie Clifford (Aka Stormy Daniels)",Active, "",03/09/2018
"Pres. Trump allegedly paid a former porn star to keep quiet about their affair in 2006. She is now suing Trump, claiming the non-disclosure agreement is invalid.",Donald Trump,"Stephanie Clifford (Aka Stormy Daniels)",Active, "",03/09/2018
"Pres. Trump allegedly paid a former porn star to keep quiet about their affair in 2006. She is now suing Trump, claiming the non-disclosure agreement is invalid.",Donald Trump,"Stephanie Clifford (Aka Stormy Daniels)",Active, "",03/09/2018
"An Israel-focused charity, The Truth About Israel, moved its recent gala event to Pres. Trump&#39;s Mar-a-Lago resort in appreciation of the president&#39;s support for Israel.",Donald Trump,"Mar-A-Lago",Active, "",03/09/2018
"Ethics experts say their &#39;fear has been realized&#39; as Trump faces one of his most consequential conflicts of interest yet: The Panamanian government has pledged to investigate the Trump Organization for resisting eviction from the Trump International Hotel and Tower. That dispute arose after the hotel&#39;s majority owner cancelled the Trump Organization&#39;s management contract for the hotel.",Donald Trump,"Trump International Hotel And Tower (Panama)",Active, "",03/09/2018
"Ethics experts say their &#39;fear has been realized&#39; as Trump faces one of his most consequential conflicts of interest yet: The Panamanian government has pledged to investigate the Trump Organization for resisting eviction from the Trump International Hotel and Tower. That dispute arose after the hotel&#39;s majority owner cancelled the Trump Organization&#39;s management contract for the hotel.",Donald Trump,"Trump International Hotel And Tower (Panama)",Active, "",03/09/2018
"Ethics experts say their &#39;fear has been realized&#39; as Trump faces one of his most consequential conflicts of interest yet: The Panamanian government has pledged to investigate the Trump Organization for resisting eviction from the Trump International Hotel and Tower. That dispute arose after the hotel&#39;s majority owner cancelled the Trump Organization&#39;s management contract for the hotel.",Donald Trump,"Trump International Hotel And Tower (Panama)",Active, "",03/09/2018
"Has held an investment in United Technologies Corp. bonds. United Technologies Corp. is the parent company of Carrier Corp. and UTEC, which make heating and air conditioning products. The asset was listed in Trump&#39;s 2016 financial disclosure, but not in his disclosure from 2017.",Donald Trump,"Holds United Technologies Corp",Potential, "",07/05/2017
"Has held an investment in United Technologies Corp. bonds. United Technologies Corp. is the parent company of Carrier Corp. and UTEC, which make heating and air conditioning products. The asset was listed in Trump&#39;s 2016 financial disclosure, but not in his disclosure from 2017.",Donald Trump,"Holds United Technologies Corp",Potential, "",07/05/2017
"Has held an investment in United Technologies Corp. bonds. United Technologies Corp. is the parent company of Carrier Corp. and UTEC, which make heating and air conditioning products. The asset was listed in Trump&#39;s 2016 financial disclosure, but not in his disclosure from 2017.",Donald Trump,"Holds United Technologies Corp",Potential, "",07/05/2017
